batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
133,CrackIVF,16,2112,16,1428,100,10,42,99999,3020.2560320904013,9.64128301711753,1.4107759925536811,8.230507024563849,0.0,0.0001200241968035698,0.0,0.0,0.0,0.0,1.4080849941819906,1,0.875,0.8375,0.81875
134,CrackIVF,16,2128,16,1428,100,10,42,99999,3028.7728791008703,8.516847010469064,1.3173760089557618,7.199471001513302,0.0,0.000100000761449337,0.0,0.0,0.0,0.0,1.31480599520728,1,0.9375,0.825,0.81125
135,CrackIVF,16,2144,16,1428,100,10,42,99999,3038.5125330940355,9.73965399316512,1.3134070031810552,8.426246989984065,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.3106770056765527,1,0.8125,0.79375,0.77625
136,CrackIVF,16,2160,16,1428,100,10,42,99999,3048.06652708794,9.553993993904442,1.3268970069475472,8.227096986956894,0.0,0.00010899384506046772,0.0,0.0,0.0,0.0,1.3240659900475293,1,0.8125,0.83125,0.809375
137,CrackIVF,16,2176,16,1428,100,10,42,99999,3058.4233980916906,10.356871003750712,1.3327760098036379,9.024094993947074,0.0,0.000100000761449337,0.0,0.0,0.0,0.0,1.330166996922344,1,0.9375,0.875,0.834375
138,CrackIVF,16,2192,16,1428,100,10,42,99999,3068.7456300947815,10.322232003090903,1.3118860078975558,9.010345995193347,0.0,0.0001100124791264534,0.0,0.0,0.0,0.0,1.3084670063108206,1,1.0,0.875,0.805625
139,CrackIVF,16,2208,16,1428,100,10,42,99999,3080.5513871018775,11.805757007095963,1.5957350260578096,10.210021981038153,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,1.5920849982649088,1,1.0,0.93125,0.87875
140,CrackIVF,16,2224,16,1428,100,10,42,99999,3091.4168380841147,10.865450982237235,1.571995991980657,9.293454990256578,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.5690360160078853,1,0.8125,0.88125,0.79125
141,CrackIVF,16,2240,16,1428,100,10,42,99999,3103.375175065594,11.958336981479079,1.5794549835845828,10.378881997894496,0.0,0.0001309963408857584,0.0,0.0,0.0,0.0,1.5759459929540753,1,0.875,0.86875,0.79375
142,CrackIVF,16,2256,16,1428,100,10,42,99999,3112.732169072842,9.356994007248431,1.3685560261365026,7.988437981111929,0.0,0.0001100124791264534,0.0,0.0,0.0,0.0,1.3657660165335983,1,0.875,0.81875,0.8125
143,CrackIVF,16,2272,16,1428,100,10,42,99999,3121.579304075567,8.847135002724826,1.3320860161911696,7.515048986533657,0.0,0.00011100200936198235,0.0,0.0,0.0,0.0,1.3293570082169026,1,0.9375,0.83125,0.78125
144,CrackIVF,16,2288,16,1428,100,10,42,99999,3129.077574063558,7.49826998799108,1.3801770110148937,6.118092976976186,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.3772660167887807,1,0.9375,0.8375,0.81125
145,CrackIVF,16,2304,16,1428,100,10,42,99999,3138.7780470540747,9.700472990516573,1.3636359944939613,8.336836996022612,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.3608360022772104,1,0.9375,0.9125,0.83875
146,CrackIVF,16,2320,16,1428,100,10,42,99999,3147.216584038688,8.438536984613165,1.4045459975022823,7.033990987110883,0.0,0.0001200241968035698,0.0,0.0,0.0,0.0,1.40145598561503,1,1.0,0.93125,0.8875
147,CrackIVF,16,2336,16,1428,100,10,42,99999,3157.9047750274185,10.68819098873064,1.3143369869794697,9.37385400175117,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.3114970060996711,1,0.875,0.8625,0.815
148,CrackIVF,16,2352,16,1428,100,10,42,99999,3166.969261044869,9.06448601745069,1.2876670225523412,7.776818994898349,0.0,0.00011100200936198235,0.0,0.0,0.0,0.0,1.284806989133358,1,0.875,0.84375,0.800625
149,CrackIVF,16,2368,16,1428,100,10,42,99999,3177.2490630391985,10.279801994329318,1.3981359952595085,8.88166599906981,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.394666003761813,1,0.9375,0.83125,0.81
150,CrackIVF,16,2384,16,1428,100,10,42,99999,3186.932776035974,9.683712996775284,1.3502759975381196,8.333436999237165,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.3476260064635426,1,1.0,0.90625,0.835
151,CrackIVF,16,2400,16,1428,100,10,42,99999,3197.88921601139,10.956439975416288,1.6423659981228411,9.314073977293447,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.6386560164391994,1,0.8125,0.78125,0.769375
152,CrackIVF,16,2416,16,1428,100,10,42,99999,3210.2005229971837,12.311306985793635,1.5387260064017028,10.772580979391932,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.5357059892266989,1,1.0,0.875,0.8525
