algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
faiss-ivf,"FaissIVF(n_list=1024, n_probe=10)",10,0.87449,0.9487399999999999,0.99992,0.0898865757971036,1075.5452431958743,0.8943080902099609,1.3418316841125486,1.5247321128845224,1.8851966857910198,11773.3513,32.317951917648315,10.0,701844.0,652.5471656724931,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=64, n_probe=10)",10,0.99513,0.9995200000000001,1.0,0.08937114007856876,102.99130815133793,10.151386260986328,13.307380676269531,13.870761394500732,18.88568353652956,170717.4821,2.0550167560577393,10.0,720624.0,6996.9399644977575,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=60)",10,1.0,1.0,1.0,0.08935400220785608,37.11987054830301,26.54588222503662,29.05898094177246,29.45423126220703,30.841176748275767,464073.4332,2.8346168994903564,10.0,706024.0,19020.109433875085,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=100)",10,0.99616,0.99971,1.0,0.089364812656324,270.2755507615444,3.749966621398926,4.560041427612304,4.791748523712159,5.090726852416995,53905.4705,105.08828806877136,10.0,701496.0,2595.484489897156,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=1024, n_probe=80)",10,0.9981199999999999,0.9998799999999999,1.0,0.08935943313105887,182.16620642413946,5.722641944885254,6.895565986633301,7.347609996795654,7.760062694549563,82648.4484,32.317951917648315,10.0,701844.0,3852.7672820165635,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=1024, n_probe=200)",10,0.9999800000000001,1.0,1.0,0.08935402716599668,77.35300272578753,13.143062591552734,14.72092866897583,15.200700759887697,17.06800317764294,199195.6552,32.317951917648315,10.0,701844.0,9073.261221519755,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=1)",10,0.55452,0.64153,0.98399,0.0926169259843967,1711.2066980114928,0.5853176116943359,0.9634613990783689,1.074080467224121,1.1415536403656017,8752.0704,2.8346168994903564,10.0,706024.0,412.58838036365506,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=1024, n_probe=5)",10,0.75108,0.84982,0.99978,0.09062592395268904,1897.4492602565215,0.5104541778564453,0.7791757583618161,0.9019374847412109,1.0581188201904332,6464.4965,32.317951917648315,10.0,701844.0,369.8881517944336,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=1)",10,0.48411,0.56772,0.97371,0.09336565438845855,3539.3814564874547,0.43845176696777344,0.7009506225585938,0.8423376083374025,0.9281723499298113,4573.0975,4.7135539054870605,10.0,705836.0,199.42354580240251,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=10)",10,0.8209,0.9127000000000001,0.9999800000000001,0.09014197483135734,1877.315114760137,0.5435943603515625,0.7829666137695312,0.8962154388427734,0.9677424430847171,7508.0807,105.08828806877136,10.0,701496.0,373.6698194589615,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=100)",10,0.99999,1.0,1.0,0.08935401149463017,46.37153022533988,21.241188049316406,23.341917991638184,23.768916130065918,26.86138796806349,389543.2246,4.7135539054870605,10.0,705836.0,15221.322146800614,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=1)",10,0.42549000000000003,0.5002500000000001,0.9579000000000001,0.09409386699605665,5086.410566549173,0.18835067749023438,0.2913475036621094,0.3838562965393067,0.4549052715301519,2685.5067,11.267282009124756,10.0,700224.0,137.66564669494628,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=10)",10,0.95572,0.9892799999999999,1.0,0.08951982521299258,264.89069967638375,3.817319869995117,4.851102828979492,5.184903144836426,5.443336009979248,42128.8479,4.7135539054870605,10.0,705836.0,2664.6311133698464,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=64, n_probe=5)",10,0.96021,0.98934,0.99999,0.08951604962955419,188.89938333910737,5.15437126159668,7.537496089935301,9.50941562652588,10.814285516738911,86962.6271,2.0550167560577393,10.0,720624.0,3814.8562862503054,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=200)",10,1.0,1.0,1.0,0.08935400220785608,25.445117369002975,39.25371170043945,39.98568058013916,40.563344955444336,46.55849695205691,740120.467,4.7135539054870605,10.0,705836.0,27739.54585329771,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=50)",10,0.9614800000000001,0.9925700000000001,1.0,0.08948045368714254,801.534186528903,1.2667179107666016,1.737844944000244,2.010595798492432,2.7232341766357457,17627.232,365.5805058479309,10.0,700384.0,873.8042765625,sift-128-euclidean
